Name,Category,Region,County,Facility,Availability,Facility.URL,Golf.URL,Nature.Center.URL,Longitude,Latitude,Location
Delta Lake,State Park,5,Oneida,Camp,Available,http://nysparks.com/parks/66/details.aspx,,,-75.42187224,43.29096558,"(43.29096558100, -75.42187224350)"
Fort Ontario,State Historic Site,5,Oswego,Camp,Not Available,http://nysparks.com/historic-sites/20/details.aspx,,,-76.50744715,43.46612424,"(43.46612424410, -76.50744715030)"
Gilbert Lake,State Park,5,Otsego,Camp,Available,http://nysparks.com/parks/19/details.aspx,,,-75.13246312,42.586584,"(42.58658399600, -75.13246312460)"
Glimmerglass,State Park,5,Otsego,Camp,Available,http://nysparks.com/parks/28/details.aspx,,,-74.86868392,42.79362617,"(42.79362617320, -74.86868391560)"
Green Lakes,State Park,5,Onondaga,Camp,Available,http://nysparks.com/parks/172/details.aspx,http://nysparks.com/golf-courses/14/details.aspx,,-75.9818848,43.04697832,"(43.04697831830, -75.98188480470)"
Helen L. McNitt,Other,5,Madison,Camp,Not Available,,,,-75.87410835,42.97085176,"(42.97085175510, -75.87410834750)"
Herkimer Home,State Historic Site,5,Herkimer,Camp,Not Available,http://nysparks.com/historic-sites/14/details.aspx,,,-74.81586505,43.02532856,"(43.02532856280, -74.81586505310)"
Hyde Hall,State Historic Site,5,Otsego,Camp,Not Available,http://nysparks.com/historic-sites/11/details.aspx,,,-74.8739967,42.79373333,"(42.79373332960, -74.87399669630)"
John Burroughs Memorial,State Historic Site,5,Delaware,Camp,Not Available,http://nysparks.com/historic-sites/3/details.aspx,,,-74.58596903,42.29474198,"(42.29474197550, -74.58596903470)"
Lorenzo,State Historic Site,5,Madison,Camp,Not Available,http://nysparks.com/historic-sites/15/details.aspx,,,-75.86569996,42.92290209,"(42.92290209040, -75.86569996170)"
Mexico Point,State Park,5,Oswego,Camp,Not Available,,,,-76.25846408,43.5199984,"(43.51999840030, -76.25846407760)"
Mexico Point Marine Park,Marine Facility,5,Oswego,Camp,Not Available,http://nysparks.com/parks/183/details.aspx,,,-76.25514321,43.52337504,"(43.52337503640, -76.25514320860)"
Old Erie Canal,State Historic Park,5,Onon/Mad/Oneida,Camp,Not Available,http://nysparks.com/historic-sites/32/details.aspx,,,-75.92176935,43.0754747,"(43.07547470480, -75.92176934910)"
Oquaga Creek,State Park,5,Broome/Delaware,Camp,Available,http://nysparks.com/parks/27/details.aspx,,,-75.42467935,42.17805145,"(42.17805144910, -75.42467934830)"
Oriskany Battlefield,State Historic Site,5,Oneida,Camp,Not Available,http://nysparks.com/historic-sites/21/details.aspx,,,-75.36671039,43.1767747,"(43.17677469700, -75.36671039240)"
Pixley Falls,State Park,5,Oneida,Camp,Available,http://nysparks.com/parks/32/details.aspx,,,-75.34147555,43.40431845,"(43.40431845360, -75.34147555230)"
Robert V. Riddell,State Park,5,Otsego,Camp,Not Available,http://nysparks.com/parks/18/details.aspx,,,-74.93710757,42.47625451,"(42.47625450820, -74.93710757450)"
Sandy Island Beach,State Park,5,Oswego,Camp,Not Available,http://nysparks.com/parks/153/details.aspx,,,-76.195665,43.63093161,"(43.63093160520, -76.19566500410)"
Selkirk Shores,State Park,5,Oswego,Camp,Available,http://nysparks.com/parks/84/details.aspx,,,-76.19844002,43.55566201,"(43.55566201050, -76.19844002330)"
State Park at the Fair,Other,5,Onondaga,Camp,Not Available,http://nysparks.com/parks/82/details.aspx,,,-76.21696591,43.07110463,"(43.07110463170, -76.21696591430)"
Steuben Memorial,State Historic Site,5,Oneida,Camp,Not Available,http://nysparks.com/historic-sites/2/details.aspx,,,-75.2324893,43.3381057,"(43.33810569960, -75.23248930110)"
